,phylum,class,order,family,genus,species,taxon
958,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,,Rickettsia
1024,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,,alpha proteobacterium HIMB59,alpha proteobacterium HIMB59
1072,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidisphaera,Acidisphaera sp. G45-3,Acidisphaera sp. G45-3
1075,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,,Roseomonas
1081,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,Commensalibacter sp. AMU001,Commensalibacter sp. AMU001
1110,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,Truepera radiovictrix,Truepera radiovictrix DSM 17093
1115,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus swuensis,Deinococcus swuensis
1116,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus sp. NW-56,Deinococcus sp. NW-56
1310,Candidatus Cloacimonetes,,,,Candidatus Cloacimonas,Candidatus Cloacimonas acidaminovorans,Candidatus Cloacimonas acidaminovorans str. Evry
1372,Cyanobacteria,,Nostocales,,,,Nostocales
1383,Cyanobacteria,,,,,,Cyanobacteria
1388,Cyanobacteria,,,,,,Cyanobacteria
1430,Cyanobacteria,,Chroococcales,,,,Chroococcales
1434,Cyanobacteria,,Oscillatoriales,Microcoleaceae,Trichodesmium,Trichodesmium erythraeum,Trichodesmium erythraeum IMS101
1456,Cyanobacteria,,,,,,Cyanobacteria
1547,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,,Caldicellulosiruptor
1690,Firmicutes,Clostridia,Clostridiales,Symbiobacteriaceae,Symbiobacterium,Symbiobacterium thermophilum,Symbiobacterium thermophilum IAM 14863
1907,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium saccharobutylicum,Clostridium saccharobutylicum DSM 13864
1945,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,Alkaliphilus oremlandii,Alkaliphilus oremlandii OhILAs
1983,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,,,Peptostreptococcaceae
2029,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,Lachnospiraceae
2044,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,,Cellulosilyticum
2097,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,Christensenella sp. Marseille-P3954,Christensenella sp. Marseille-P3954
2109,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,Tumebacillus algifaecis,Tumebacillus algifaecis
2116,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,,,Thermoactinomycetaceae
2117,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,,,Thermoactinomycetaceae
2119,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,,,Thermoactinomycetaceae
2176,Firmicutes,Bacilli,Bacillales,,,,Bacillales
2187,Firmicutes,Bacilli,Bacillales,Planococcaceae,Paenisporosarcina,,Paenisporosarcina
2209,Firmicutes,Bacilli,Bacillales,,,,Bacillales
2649,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus weihaiensis,Bacillus weihaiensis
2671,Firmicutes,Bacilli,Bacillales,,,,Bacillales
2682,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,,Bacillus <bacterium>
2689,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lentibacillus,Lentibacillus amyloliquefaciens,Lentibacillus amyloliquefaciens
2703,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Virgibacillus sp. SK37,Virgibacillus sp. SK37
2710,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Virgibacillus necropolis,Virgibacillus necropolis
2722,Firmicutes,Bacilli,Bacillales,Bacillaceae,Paraliobacillus,Paraliobacillus sp. X-1125,Paraliobacillus sp. X-1125
2725,Firmicutes,Bacilli,Bacillales,Bacillaceae,,,Bacillaceae
2730,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus thermoamylovorans,Bacillus thermoamylovorans
2813,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus circulans,Bacillus circulans
2829,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus sp. X1(2014),Bacillus sp. X1(2014)
2832,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus foraminis,Bacillus foraminis
2881,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,Vagococcus sp. CF-49,Vagococcus sp. CF-49
3351,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,,,Streptococcaceae
3438,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus apis,Lactobacillus apis
3439,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kullabergensis,Lactobacillus kullabergensis
3527,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus bombi,Lactobacillus bombi
3879,Fusobacteria <phylum>,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,Sneathia amnii,Sneathia amnii
3901,Fusobacteria <phylum>,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium periodonticum,Fusobacterium periodonticum
4143,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,Mycoplasma
4202,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,,,Mycoplasmataceae
4338,Firmicutes,Bacilli,Bacillales,,Gemella,,Gemella
4405,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus equorum,Staphylococcus equorum
4689,,,,,,,Bacteria <prokaryotes>
4712,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,,Brevibacillus
4715,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella sp. 18JY8-7,Cohnella sp. 18JY8-7
4718,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp. FW100M-2,Paenibacillus sp. FW100M-2
4852,Firmicutes,Clostridia,Halanaerobiales,,Anoxybacter,Anoxybacter fermentans,Anoxybacter fermentans
4855,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,,Halanaerobium
4861,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halobacteroides,Halobacteroides halobius,Halobacteroides halobius DSM 5150
4943,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,,Desulfosporosinus
4962,,,,,,,Bacteria <prokaryotes>
4972,Chloroflexi <phylum>,Chloroflexia,Chloroflexales,,,,Chloroflexales
4973,Chloroflexi <phylum>,Thermomicrobia <class>,Thermomicrobiales,Thermomicrobiaceae,Thermomicrobium,Thermomicrobium roseum,Thermomicrobium roseum DSM 5159
4974,Chloroflexi <phylum>,Thermomicrobia <class>,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus,Sphaerobacter thermophilus DSM 20745
4994,Chloroflexi <phylum>,Dehalococcoidia,,,,,Dehalococcoidia
4995,Chloroflexi <phylum>,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea,Caldilinea aerophila,Caldilinea aerophila DSM 14535 = NBRC 104270
4999,Chloroflexi <phylum>,Anaerolineae,Anaerolineales,Anaerolineaceae,Brevefilum,Brevefilum fermentans,Brevefilum fermentans
5003,Chloroflexi <phylum>,Anaerolineae,Anaerolineales,Anaerolineaceae,,,Anaerolineaceae
5006,Chloroflexi <phylum>,,,,,,Chloroflexi <phylum>
5051,Actinobacteria <phylum>,Actinobacteria <class>,,,,Actinobacteria bacterium IMCC26256,Actinobacteria bacterium IMCC26256
5052,Actinobacteria <phylum>,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,Acidimicrobium ferrooxidans,Acidimicrobium ferrooxidans DSM 10331
5054,Actinobacteria <phylum>,Nitriliruptoria,Egicoccales,Egicoccaceae,Egicoccus,Egicoccus halophilus,Egicoccus halophilus
5094,Actinobacteria <phylum>,Actinobacteria <class>,Geodermatophilales,Geodermatophilaceae,Modestobacter,Modestobacter marinus,Modestobacter marinus
5095,Actinobacteria <phylum>,Actinobacteria <class>,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus obscurus,Geodermatophilus obscurus DSM 43160
5096,Actinobacteria <phylum>,Actinobacteria <class>,Geodermatophilales,Geodermatophilaceae,Blastococcus,Blastococcus saxobsidens,Blastococcus saxobsidens DD2
5098,Actinobacteria <phylum>,Actinobacteria <class>,Geodermatophilales,Geodermatophilaceae,,,Geodermatophilaceae
5278,Actinobacteria <phylum>,Actinobacteria <class>,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. DUT11,Streptomyces sp. DUT11
5392,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Intrasporangiaceae,Janibacter,Janibacter indicus,Janibacter indicus
5414,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Intrasporangiaceae,,,Intrasporangiaceae
5415,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Intrasporangiaceae,Ornithinimicrobium,Ornithinimicrobium sp. AMA3305,Ornithinimicrobium sp. AMA3305
5423,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium sp. VM2412,Brachybacterium sp. VM2412
5457,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Micrococcaceae,Kocuria,Kocuria flava,Kocuria flava
5490,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. PGP41,Arthrobacter sp. PGP41
5688,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium asteroides,Bifidobacterium asteroides PRL2011
5690,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium indicum,Bifidobacterium indicum LMG 11587 = DSM 20214
5820,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Microbacteriaceae,Rathayibacter,Rathayibacter rathayi,Rathayibacter rathayi
5962,Actinobacteria <phylum>,Actinobacteria <class>,Propionibacteriales,Nocardioidaceae,,,Nocardioidaceae
6090,Actinobacteria <phylum>,Actinobacteria <class>,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,,Pseudonocardia
6099,Actinobacteria <phylum>,Actinobacteria <class>,Corynebacteriales,,Lawsonella,Lawsonella clevelandensis,Lawsonella clevelandensis
6307,Actinobacteria <phylum>,Actinobacteria <class>,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium resistens,Corynebacterium resistens DSM 45100
6320,Actinobacteria <phylum>,Actinobacteria <class>,Corynebacteriales,Dietziaceae,Dietzia,Dietzia sp. oral taxon 368,Dietzia sp. oral taxon 368
6321,Actinobacteria <phylum>,Actinobacteria <class>,Corynebacteriales,Dietziaceae,Dietzia,Dietzia psychralcaliphila,Dietzia psychralcaliphila
6344,Actinobacteria <phylum>,Actinobacteria <class>,Corynebacteriales,Mycobacteriaceae,Mycobacteroides,Mycobacteroides abscessus,Mycobacteroides abscessus
6380,Actinobacteria <phylum>,Actinobacteria <class>,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium paragordonae,Mycobacterium paragordonae
6619,Actinobacteria <phylum>,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Conexibacter woesei,Conexibacter woesei DSM 14684
6631,Gemmatimonadetes <phylum>,Gemmatimonadetes <class>,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa,Gemmatirosa kalamazoonesis,Gemmatirosa kalamazoonesis
6638,Gemmatimonadetes <phylum>,Gemmatimonadetes <class>,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,,Gemmatimonas
6673,Bacteroidetes <phylum>,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Salinibacter,Salinibacter ruber,Salinibacter ruber
6678,Bacteroidetes <phylum>,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Salinibacter,Salinibacter ruber,Salinibacter ruber
6683,Bacteroidetes <phylum>,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Salinibacter,Salinibacter ruber,Salinibacter ruber
6684,Bacteroidetes <phylum>,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,,Rhodothermaceae bacterium,Rhodothermaceae bacterium
6686,Bacteroidetes <phylum>,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,,,unclassified Rhodothermaceae
6689,Balneolaeota,,,,Candidatus Cyclonatronum,Candidatus Cyclonatronum proteinivorum,Candidatus Cyclonatronum proteinivorum
6690,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Owenweeksia,Owenweeksia hongkongensis,Owenweeksia hongkongensis DSM 17368
6693,,,,,,,unclassified Cryomorphaceae 
6723,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium kingsejongi,Flavobacterium kingsejongi
6789,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,Kordia sp. SMS9,Kordia sp. SMS9
6836,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tamlana,Tamlana sp. UJ94,Tamlana sp. UJ94
6885,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Antarcticibacterium,Antarcticibacterium flavum,Antarcticibacterium flavum
6886,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salegentibacter,Salegentibacter sp. T436,Salegentibacter sp. T436
6890,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,Psychroflexus torquis,Psychroflexus torquis ATCC 700755
6894,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureitalea,Aureitalea sp. RR4-38,Aureitalea sp. RR4-38
6902,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,Flavobacteriaceae
7171,,,,,,,Bacteria <prokaryotes>
7222,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,,Porphyromonas
7279,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,,Bacteroides <genus>
7333,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,Prevotella
7363,Bacteroidetes <phylum>,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter sp. PAMC 26640,Mucilaginibacter sp. PAMC 26640
7405,Bacteroidetes <phylum>,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter tropicus,Flavisolibacter tropicus
7406,Bacteroidetes <phylum>,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter sp. 17J28-1,Flavisolibacter sp. 17J28-1
7421,Bacteroidetes <phylum>,Chitinophagia,Chitinophagales,Chitinophagaceae,,,Chitinophagaceae
7423,Bacteroidetes <phylum>,Saprospiria,Saprospirales,Haliscomenobacteraceae,Haliscomenobacter,Haliscomenobacter hydrossis,Haliscomenobacter hydrossis DSM 1100
7427,Bacteroidetes <phylum>,Cytophagia,Cytophagales,,Chryseolinea,Chryseolinea sp. KIS68-18,Chryseolinea sp. KIS68-18
7471,Bacteroidetes <phylum>,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,Rufibacter tibetensis,Rufibacter tibetensis
7502,Bacteroidetes <phylum>,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,,Hymenobacter
7503,Bacteroidetes <phylum>,Cytophagia,Cytophagales,Hymenobacteraceae,,,Hymenobacteraceae
7505,Bacteroidetes <phylum>,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus Amoebophilus,Candidatus Amoebophilus asiaticus,Candidatus Amoebophilus asiaticus 5a2
7512,Bacteroidetes <phylum>,Cytophagia,Cytophagales,Flammeovirgaceae,,Flammeovirgaceae bacterium 311,Flammeovirgaceae bacterium 311
7523,Bacteroidetes <phylum>,Cytophagia,Cytophagales,,,,Cytophagales
7549,Nitrospirae,Nitrospira <class>,Nitrospirales,Nitrospiraceae,Thermodesulfovibrio,Thermodesulfovibrio yellowstonii,Thermodesulfovibrio yellowstonii DSM 11347
7567,Planctomycetes <phylum>,Phycisphaerae,Sedimentisphaerales,Sedimentisphaeraceae,Sedimentisphaera,,Sedimentisphaera
7568,Planctomycetes <phylum>,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera,Phycisphaera mikurensis,Phycisphaera mikurensis NBRC 102666
7573,Planctomycetes <phylum>,Planctomycetia,Planctomycetales,Isosphaeraceae,Singulisphaera,Singulisphaera acidiphila,Singulisphaera acidiphila DSM 18658
7580,Planctomycetes <phylum>,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,Planctomyces sp. SH-PL14,Planctomyces sp. SH-PL14
7584,Planctomycetes <phylum>,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctopirus,Planctopirus limnophila,Planctopirus limnophila DSM 3776
7585,Planctomycetes <phylum>,Planctomycetia,Planctomycetales,Planctomycetaceae,,,Planctomycetaceae
7586,Planctomycetes <phylum>,Planctomycetia,Planctomycetales,Planctomycetaceae,,,Planctomycetaceae
7587,Planctomycetes <phylum>,Planctomycetia,Planctomycetales,Planctomycetaceae,Thermogutta,Thermogutta terrifontis,Thermogutta terrifontis
7588,Planctomycetes <phylum>,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula,Rhodopirellula baltica,Rhodopirellula baltica SH 1
7589,Planctomycetes <phylum>,Planctomycetia,Planctomycetales,Planctomycetaceae,Pirellula,Pirellula staleyi,Pirellula staleyi DSM 6068
7595,Planctomycetes <phylum>,,,,,,Planctomycetes <phylum>
7597,,,,,Vampirococcus,Vampirococcus sp. LiM,Vampirococcus sp. LiM
7604,Chlamydiae <phylum>,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Neochlamydia,Neochlamydia sp. S13,Neochlamydia sp. S13
7605,Chlamydiae <phylum>,Chlamydiia,Parachlamydiales,Parachlamydiaceae,,,Parachlamydiaceae
7698,Chlamydiae <phylum>,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,,Chlamydia
7701,Verrucomicrobia,,,,,Verrucomicrobia bacterium S94,Verrucomicrobia bacterium S94
7704,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Coraliomargarita,Coraliomargarita akajimensis,Coraliomargarita akajimensis DSM 45221
7705,Verrucomicrobia,,,,,Verrucomicrobia bacterium IMCC26134,Verrucomicrobia bacterium IMCC26134
7715,Verrucomicrobia,Spartobacteria,,,Candidatus Xiphinematobacter,Candidatus Xiphinematobacter sp. Idaho Grape,Candidatus Xiphinematobacter sp. Idaho Grape
7718,Verrucomicrobia,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilum,,Methylacidiphilum
7719,Verrucomicrobia,,,,,,Verrucomicrobia
7728,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,Akkermansia
7735,Acidobacteria <phylum>,Vicinamibacteria,,Vicinamibacteraceae,Luteitalea,Luteitalea pratensis,Luteitalea pratensis
7736,Acidobacteria <phylum>,Blastocatellia,,,Chloracidobacterium,Chloracidobacterium thermophilum,Chloracidobacterium thermophilum B
7750,Acidobacteria <phylum>,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,,Acidobacteriaceae
7766,,,,,,Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1),Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1)
7767,,,,,,,Candidatus Dependentiae
7769,Proteobacteria,Oligoflexia,Silvanigrellales,,,Silvanigrellales bacterium RF1110005,Silvanigrellales bacterium RF1110005
7770,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas,Fimbriimonas ginsengisoli,Fimbriimonas ginsengisoli Gsoil 348
7780,Candidatus Gracilibacteria,,,,,Candidatus Gracilibacteria bacterium HOT-871,Candidatus Gracilibacteria bacterium HOT-871
7808,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,Arcobacter cryaerophilus,Arcobacter cryaerophilus D2610
8212,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Nautilia,Nautilia profundicola,Nautilia profundicola AmH
8221,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobium,Desulfohalobium retbaense,Desulfohalobium retbaense DSM 5692
8223,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,Desulfomicrobium baculatum,Desulfomicrobium baculatum DSM 4028
8224,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,,Desulfomicrobium
8275,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,Pelobacter sp. SFB93,Pelobacter sp. SFB93
8339,Proteobacteria,Deltaproteobacteria,Myxococcales,Kofleriaceae,Haliangium,Haliangium ochraceum,Haliangium ochraceum DSM 14365
8348,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,Sorangium cellulosum
8388,Proteobacteria,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Bradymonas,Bradymonas sediminis,Bradymonas sediminis
8407,Proteobacteria,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,,Halothiobacillus
8409,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Dichelobacter,Dichelobacter nodosus,Dichelobacter nodosus VCS1703A
8430,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas sp. SY21,Thermomonas sp. SY21
8438,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter sp. TY2-98,Lysobacter sp. TY2-98
