,phylum,class,order,family,genus,species,taxon
14953,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,Agromyces aureus,GCF_001660485.1_Agromyces aureus_strain=AR33
5705,Proteobacteria,Gammaproteobacteria,,,Candidatus Vesicomyosocius,Candidatus Vesicomyosocius okutanii,GCF_000010405.1_Candidatus Vesicomyosocius okutanii_strain=HA
9737,Bacteroidetes,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Salinibacter,Salinibacter ruber,
13625,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,GCF_000751035.1_Staphylococcus epidermidis PM221_strain=PM221
332,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,,,
435,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,Desulfobacula toluolica,GCF_000307105.1_Desulfobacula toluolica Tol2_strain=Tol2
439,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,Desulfococcus oleovorans,GCF_000018405.1_Desulfococcus oleovorans Hxd3_strain=Hxd3
454,Proteobacteria,Oligoflexia,Bacteriovoracales,Halobacteriovoraceae,Halobacteriovorax,Halobacteriovorax sp. BALOs_7,GCF_003612895.1_Halobacteriovorax sp. BALOs_7_strain=BALOs_7
513,Proteobacteria,Deltaproteobacteria,Bradymonadales,,,Bradymonadales bacterium YN101,GCF_007993775.1_Bradymonadales bacterium YN101_strain=YN101
531,Proteobacteria,Gammaproteobacteria,Chromatiales,Wenzhouxiangellaceae,Wenzhouxiangella,Wenzhouxiangella marina,GCF_001187785.1_Wenzhouxiangella marina_strain=KCTC 42284
606,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,,
1466,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia rettgeri,GCF_010320145.1_Providencia rettgeri_strain=BML2531
3924,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Gilliamella apicola,GCF_000599985.1_Gilliamella apicola_strain=wkB1
4881,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp. AntiMn-1,GCF_001854065.1_Psychrobacter sp. AntiMn-1_strain=AntiMn-1
4939,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter salarius,
5613,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,,
5777,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Dichelobacter,Dichelobacter nodosus,GCF_000015345.1_Dichelobacter nodosus VCS1703A_strain=VCS1703A
5935,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia acidovorans,GCF_000018665.1_Delftia acidovorans SPH-1_strain=SPH-1
6317,Proteobacteria,Betaproteobacteria,,,Candidatus Nasuia,Candidatus Nasuia deltocephalinicola,
6357,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia caffeinilytica,GCF_003368325.1_Paraburkholderia caffeinilytica_strain=CF1
7015,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,GCF_009676525.1_Stenotrophomonas maltophilia_strain=PEG-42
7272,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter mirabilis,GCF_002749615.1_Caulobacter mirabilis_strain=FWC 38
7596,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella apis,GCF_002007485.1_Bartonella apis_strain=BBC0178
7754,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,,,
7859,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. HMP9,GCF_013374115.1_Sphingomonas sp. HMP9_strain=HMP9
7947,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium yanoikuyae,GCF_002504085.1_Sphingobium yanoikuyae_strain=S72
7979,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingosinicella,Sphingosinicella microcystinivorans,GCF_003967095.1_Sphingosinicella microcystinivorans_strain=B-9
8041,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,,
8109,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus sp. Arc7-R13,GCF_004010775.1_Paracoccus sp. Arc7-R13_strain=Arc7-R13
8163,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter,Celeribacter indicus,GCF_000819565.1_Celeribacter indicus_strain=P73
8304,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius sp. MME-070,GCF_009762325.1_Roseovarius sp. MME-070_strain=MME-070
8673,Bacteroidetes,Bacteroidia,Bacteroidales,,,,
8818,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella melaninogenica,GCF_003609775.1_Prevotella melaninogenica_strain=GAI 07411
8881,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,,,
8885,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinifilaceae,Labilibaculum,Labilibaculum antarcticum,GCF_002356295.1_Labilibaculum antarcticum_strain=SPP2
9597,Bacteroidetes,Saprospiria,Saprospirales,Saprospiraceae,Saprospira,Saprospira grandis,GCF_000250635.1_Saprospira grandis str. Lewin_strain=Lewin
9615,Bacteroidetes,Cytophagia,Cytophagales,,,,
9719,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Leadbetterella,Leadbetterella byssophila,GCF_000166395.1_Leadbetterella byssophila DSM 17132_strain=DSM 17132
9767,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,,,
10326,Candidatus Cloacimonetes,,,,Candidatus Cloacimonas,Candidatus Cloacimonas acidaminovorans,GCF_000146065.2_Candidatus Cloacimonas acidaminovorans str. Evry_strain=Evry
10332,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,,
10459,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,,,
10481,Chloroflexi,Chloroflexia,Chloroflexales,,,,
10709,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paeniclostridium,Paeniclostridium sordellii,GCF_002865995.1_Paeniclostridium sordellii_strain=AM370
12669,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis,GCF_001983955.1_Streptococcus oralis_strain=S.MIT/ORALIS-351
13696,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,
15207,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,,,
15262,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter crystallopoietes,GCF_002849715.1_Arthrobacter crystallopoietes_strain=DSM 20117
16016,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium paragordonae,GCF_003614435.1_Mycobacterium paragordonae_strain=49061
16565,Actinobacteria,Actinobacteria,,,,Actinobacteria bacterium IMCC26256,GCF_001023575.1_Actinobacteria bacterium IMCC26256_strain=IMCC26256
16705,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,,,
16741,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Coraliomargarita,Coraliomargarita akajimensis,GCF_000025905.1_Coraliomargarita akajimensis DSM 45221_strain=DSM 45221
16821,Planctomycetes,,,,,,
10032,Cyanobacteria,,Chroococcales,,,,
10051,Cyanobacteria,,Chroococcales,Aphanothecaceae,Euhalothece,Euhalothece natronophila,GCF_007904085.1_Euhalothece natronophila Z-M001_strain=Z-M001
9281,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter sp. L3A8,GCF_009796785.1_Polaribacter sp. L3A8_strain=L3A8
8273,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,Rhodobacteraceae bacterium SH-1,GCF_003008555.2_Rhodobacteraceae bacterium SH-1_strain=SH-1
8575,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Stella,Stella humosa,GCF_006738645.1_Stella humosa_strain=ATCC 43930
279,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,Arcobacter ellisii,GCF_003544915.1_Arcobacter ellisii_strain=LMG 26155
329,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Lawsonia,Lawsonia intracellularis,GCF_000055945.1_Lawsonia intracellularis PHE/MN1-00_strain=PHE/MN1-00
458,Proteobacteria,Oligoflexia,Bacteriovoracales,,,,
504,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,Pelobacter carbinolicus,GCF_000012885.1_Pelobacter carbinolicus DSM 2380_strain=DSM 2380
605,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,Hydrogenovibrio marinus,GCF_013340845.1_Hydrogenovibrio marinus_strain=MH-110
813,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas elongata,GCF_000196875.2_Halomonas elongata DSM 2581_strain=type strain: DSM 2581
833,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Pistricoccus,Pistricoccus aurantiacus,GCF_007954585.1_Pistricoccus aurantiacus_strain=CBA4606
894,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Candidatus Carsonella,Candidatus Carsonella ruddii,
2975,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,
3923,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,Frischella perrara,GCF_000807275.1_Frischella perrara_strain=PEB0191
4254,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Salinivibrio,Salinivibrio sp. YCSC6,GCF_004916735.1_Salinivibrio sp. YCSC6_strain=YCSC6
4561,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi,GCF_000770115.1_Vibrio harveyi_strain=ATCC 33843 (392 MAV)
4666,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,GCF_003335165.1_Acinetobacter johnsonii_strain=LXL_C1
4924,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,,
4950,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter salinus,GCF_001854125.1_Marinobacter salinus_strain=Hb8
4963,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,,,
5962,Proteobacteria,Betaproteobacteria,Burkholderiales,,Thiomonas,Thiomonas intermedia,
6501,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Duganella sp. AF9R3,GCF_012849375.1_Duganella sp. AF9R3_strain=AF9R3
6582,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum,GCF_000283475.1_Ralstonia solanacearum PSI07_strain=PSI07
6882,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria mucosa,GCF_002073715.2_Neisseria mucosa_strain=FDAARGOS_260
6903,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,GCF_000600005.1_Snodgrassella alvi wkB2_strain=wkB2
7730,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus,GCF_000008145.1_Brucella abortus bv. 1 str. 9-941_strain=9-941
8080,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,
8081,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodovulum,Rhodovulum sulfidophilum,GCF_001633145.1_Rhodovulum sulfidophilum_strain=SNK001
8086,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodovulum,Rhodovulum sp. P5,GCF_002079305.1_Rhodovulum sp. P5_strain=P5
8133,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus sp. BM15,GCF_002847305.1_Paracoccus sp. BM15_strain=BM15
8361,Proteobacteria,Alphaproteobacteria,Holosporales,Caedimonadaceae,Candidatus Nucleicultrix,Candidatus Nucleicultrix amoebiphila,GCF_002117145.1_Candidatus Nucleicultrix amoebiphila FS5_strain=FS5
8584,Proteobacteria,,,,,,
8641,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,,,
8645,Balneolaeota,,,,Candidatus Cyclonatronum,Candidatus Cyclonatronum proteinivorum,GCF_003353065.1_Candidatus Cyclonatronum proteinivorum_strain=Omega
8646,Bacteroidetes,Bacteroidia,Marinilabiliales,Salinivirgaceae,Salinivirga,Salinivirga cyanobacteriivorans,GCF_001443605.1_Salinivirga cyanobacteriivorans_strain=L21-Spi-D4
8651,Bacteroidetes,Bacteroidia,Marinilabiliales,Prolixibacteraceae,,,
8775,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes,GCF_000186225.1_Bacteroides helcogenes P 36-108_strain=P 36-108
9058,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bergeyella,Bergeyella cardium,GCF_009914665.1_Bergeyella cardium_strain=HPQL
9396,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,,
9470,,,,,,,
9514,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium lactis,GCF_011046555.1_Sphingobacterium lactis_strain=DSM 22361
9598,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Haliscomenobacter,Haliscomenobacter hydrossis,GCF_000212735.1_Haliscomenobacter hydrossis DSM 1100_strain=DSM 1100
9612,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marivirga,Marivirga tractuosa,GCF_000183425.1_Marivirga tractuosa DSM 4126_strain=DSM 4126
10009,Cyanobacteria,,Nostocales,,,,
10081,Cyanobacteria,,Oscillatoriales,,,,
10157,Cyanobacteria,,,,,,
10164,Cyanobacteria,,Synechococcales,,,,
10174,Cyanobacteria,,,,,,
10336,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halobacteroides,Halobacteroides halobius,GCF_000328625.1_Halobacteroides halobius DSM 5150_strain=DSM 5150
10628,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoanaerobaculum,Lachnoanaerobaculum umeaense,GCF_003589745.1_Lachnoanaerobaculum umeaense_strain=DSM 23576 = CCUG 58757
10742,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptoclostridium,Peptoclostridium acidaminophilum,GCF_000597865.1_Peptoclostridium acidaminophilum DSM 3953_strain=al-2
10870,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,
11006,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salicibibacter,,
11046,Firmicutes,Bacilli,Bacillales,Bacillaceae,Amphibacillus,Amphibacillus xylanus,GCF_000307165.1_Amphibacillus xylanus NBRC 15112_strain=NBRC 15112
11846,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,GCF_002211625.1_Fusobacterium nucleatum subsp. polymorphum_strain=KCOM 1275
12342,Firmicutes,Bacilli,Bacillales,,Gemella,Gemella morbillorum,GCF_009730315.1_Gemella morbillorum_strain=FDAARGOS_741
12452,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,GCF_000236475.1_Lactococcus lactis subsp. cremoris A76_strain=A76
13030,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kullabergensis,GCF_003151025.1_Lactobacillus kullabergensis_strain=ESL0186
13778,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,
14075,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus donghaensis,GCF_001687665.2_Planococcus donghaensis_strain=DSM 22276
14099,Firmicutes,Bacilli,Bacillales,Planococcaceae,,,
14413,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,,
14666,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium asteroides,GCF_000304215.1_Bifidobacterium asteroides PRL2011_strain=PRL2011
14951,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,,
15061,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia odontolytica,GCF_009730335.1_Schaalia odontolytica_strain=FDAARGOS_732
15685,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus obscurus,GCF_000025345.1_Geodermatophilus obscurus DSM 43160_strain=DSM 43160
16067,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacteroides,Mycobacteroides abscessus,GCF_000069185.1_Mycobacteroides abscessus ATCC 19977
16174,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium ureicelerivorans,GCF_000747315.1_Corynebacterium ureicelerivorans_strain=IMMIB RIV-2301
16605,,,,,Vampirococcus,Vampirococcus sp. LiM,GCF_004102945.1_Vampirococcus sp. LiM_strain=LiM
16704,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Neochlamydia,Neochlamydia sp. S13,GCF_000648235.2_Neochlamydia sp. S13_strain=S13
16710,Chlamydiae,Chlamydiia,,,,,
16885,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella mallensis,GCF_000178955.2_Granulicella mallensis MP5ACTX8_strain=MP5ACTX8
547,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,Spiribacter curvatus,GCF_000485905.1_Spiribacter curvatus_strain=UAH-SP71
8303,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,
269,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,,,
331,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio alaskensis,GCF_000012665.1_Desulfovibrio alaskensis G20_strain=G20
364,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobium,Desulfohalobium retbaense,GCF_000024325.1_Desulfohalobium retbaense DSM 5692_strain=DSM 5692
366,Proteobacteria,Deltaproteobacteria,Myxococcales,Kofleriaceae,Haliangium,Haliangium ochraceum,GCF_000024805.1_Haliangium ochraceum DSM 14365_strain=DSM 14365
455,Proteobacteria,Oligoflexia,Bacteriovoracales,Halobacteriovoraceae,Halobacteriovorax,Halobacteriovorax marinus,GCF_000210915.2_Halobacteriovorax marinus SJ_strain=SJ
460,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa,Desulfocapsa sulfexigens,GCF_000341395.1_Desulfocapsa sulfexigens DSM 10523_strain=DSM 10523
509,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geoalkalibacter,Geoalkalibacter subterraneus,GCF_000827125.1_Geoalkalibacter subterraneus_strain=Red1
516,Proteobacteria,Deltaproteobacteria,Bradymonadales,,,Bradymonadales bacterium V1718,GCF_007993755.1_Bradymonadales bacterium V1718_strain=V1718
529,Proteobacteria,Gammaproteobacteria,Chromatiales,Woeseiaceae,Woeseia,Woeseia oceani,GCF_001677435.1_Woeseia oceani_strain=XK5
536,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,Thioalkalivibrio versutus,GCF_001020955.1_Thioalkalivibrio versutus_strain=D301
540,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,Thioalkalivibrio sulfidiphilus,GCF_000021985.1_Thioalkalivibrio sulfidiphilus HL-EbGr7_strain=HL-EbGR7
542,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Ectothiorhodospira,Ectothiorhodospira sp. BSL-9,GCF_001632845.1_Ectothiorhodospira sp. BSL-9_strain=BSL-9
545,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,Spiribacter salinus,GCF_000319575.2_Spiribacter salinus M19-40_strain=M19-40
550,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,,
554,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalilimnicola,Alkalilimnicola ehrlichii,GCF_000014785.1_Alkalilimnicola ehrlichii MLHE-1_strain=MLHE-1
582,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,,
584,Proteobacteria,Gammaproteobacteria,Chromatiales,,Thiohalobacter,Thiohalobacter thiocyanaticus,GCF_002356355.1_Thiohalobacter thiocyanaticus_strain=FOKN1
589,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira,,
611,Proteobacteria,Gammaproteobacteria,,,,,
620,Proteobacteria,Gammaproteobacteria,,,,,
633,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,,,
802,Proteobacteria,Gammaproteobacteria,,,Pseudohongiella,Pseudohongiella spirulinae,GCF_001444425.1_Pseudohongiella spirulinae_strain=KCTC 32221
3877,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,GCF_000336425.1_Serratia marcescens WW4_strain=WW4
4887,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella osloensis,GCF_002752755.2_Moraxella osloensis_strain=YHS
5218,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. LH1G9,GCF_002949975.1_Pseudomonas sp. LH1G9_strain=LH1G9
5618,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,,Halieaceae bacterium IMCC3088,GCF_009910365.1_Halieaceae bacterium IMCC3088_strain=IMCC3088
5660,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Saccharospirillum,Saccharospirillum mangrovi,GCF_003367315.1_Saccharospirillum mangrovi_strain=HK-33
5729,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomicrobium,Methylomicrobium alcaliphilum,GCF_000968535.2_Methylomicrobium alcaliphilum 20Z_strain=20Z
5741,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,,
5752,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,,,
5776,Proteobacteria,Gammaproteobacteria,Chromatiales,,,,
7157,Proteobacteria,,,,,,
7333,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium,Candidatus Filomicrobium marinum,GCF_000981545.1_Candidatus Filomicrobium marinum_strain=strain Y
7465,Proteobacteria,Alphaproteobacteria,,,Phreatobacter,Phreatobacter stygius,GCF_005144885.1_Phreatobacter stygius_strain=KCTC 52518
7642,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. ACO-34A,GCF_002600635.1_Rhizobium sp. ACO-34A_strain=ACO-34A
7832,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pelagibacterium,Pelagibacterium halotolerans,GCF_000230555.1_Pelagibacterium halotolerans B2_strain=B2
8082,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodovulum,Rhodovulum sp. MB263,GCF_002073975.1_Rhodovulum sp. MB263_strain=MB263
